,sentence
19293,was vile enough 
19294,a bland 
19295,punchier 
19296,to the concept of loss 
19297,paramount imprint 
19298,to the chateau  a sense of lightheartedness  that makes it attractive throughout 
19299,no rest period  no timeout 
19300,all its excess debris 
19301,mind to see a feature that concentrates on people  a project in which the script and characters hold sway 
19302,amid the shock and curiosity factors  the film is just a corny examination of a young actress trying to find her way  
19303,one of the most genuinely sweet films to come along in quite some time  
19304,to stodgy  soap operaish dialogue 
19305,much of it is funny 
19306,an action hero with table manners 
19307,love  memory  history and 
19308,takes a sudden turn and devolves 
19309,are totally estranged from reality  
19310,clichés  
19311,save everyone the misery 
19312,is so contrived  nonsensical and formulaic that  come to think of it  the dayold shelf would be a more appropriate location to store it 
19313,a puritanical brand of christianity 
19314,make the most sincere and artful movie in which adam sandler will probably ever appear 
19315,replacing john carpenter s stylish tracking shots is degraded  handheld blair witch videocam footage  
19316,s muy loco  but no more ridiculous than most of the rest of  dragonfly 
19317,guessable from the first few minutes 
19318,that quickly wears out its limited welcome 
19319,new friends 
19320,elizabeth hurley seem graceless and ugly 
19321,by the shadowy lighting 
19322,of important developments of the computer industry 
19323,his topnotch creative team 
19324,this readymade midnight movie probably wo nt stand the cold light of day 
19325,see a threedimensional  average  middleaged woman s experience of selfdiscovery handled with such sensitivity 
19326,this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker  but 
19327,shiri is an action film that delivers on the promise of excitement  
19328,watch a movie in which a guy dressed as a children s party clown gets violently gangraped  
19329,quiet family drama 
19330, the film  tackles the topic of relationships in such a straightforward  emotionally honest manner that by the end  it s impossible to ascertain whether the film is  at its core  deeply pessimistic or quietly hopeful  
19331,is that it s a brazenly misguided project 
19332,vaguely interesting 
19333,tickles the funny bone 
19334,this arrogant richard pryor wannabe s routine is offensive  puerile and unimaginatively foulmouthed if it was at least funny 
19335,struggling to create 
19336,carries almost no organic intrigue as a government  marinelegal mystery 
19337,i ve never bought from telemarketers  but i bought this movie 
19338,the lady and the duke is a smart  romantic drama that dares to depict the french revolution from the aristocrats  perspective  
19339,graced 
19340,predict there will be plenty of female audience members drooling over michael idemoto as michael 
19341,together frustrating difficult 
19342,that not only blockbusters pollute the summer movie pool 
19343,the story gives ample opportunity for largescale action and suspense  which director shekhar kapur supplies with tremendous skill  
19344,a firstclass road movie that proves you can run away from home  but your ego and all your problems go with you  
19345,futureworld holographic librarian  orlando jones  who knows everything and answers all questions  is visually smart  cleverly written  and nicely realized 
19346,it s a talking head documentary  but a great one  
19347,great performances  stylish cinematography 
19348,one of the best actors there is 
19349,that calvin jr s barbershop represents some sort of beacon of hope in the middle of chicago s south side 
19350,outright newness 
19351,if you ever wanted to be an astronaut  this is the ultimate movie experience  it s informative and breathtakingly spectacular  
19352,the stylistic rigors 
19353,more contemporary 
19354,as hilariously raunchy as south park 
19355,marvelously 
19356,to mention leaving you with some laughs and a smile on your face 
19357,lousy 
19358,beating the austin powers films at their own game  this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness  
19359,starts out with tremendous promise  introducing an intriguing and alluring premise  only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter  
19360,a good deal funnier than his original 
19361,a fairly impressive debut from the director  charles stone iii 
19362,drawn in by the sympathetic characters 
19363,that make it well worth watching 
19364,prepare to marvel again  
19365,even though their story is predictable  you ll want things to work out 
19366,pristine 
19367,as a potentially incredibly twisting mystery 
19368,of saps stuck in an inarticulate screenplay 
19369,strategies 
19370,lagging near the finish line 
19371,resident evil is nt a product of its cinematic predecessors so much as an mtv  sugar hysteria  and playstation cocktail  
19372,weak and strong 
19373,it has a more colorful  more playful tone than his other films  
19374,has layered  welldeveloped characters and some surprises  
19375,nair s cast is so large it s altmanesque 
19376,without bludgeoning the audience over the head 
19377,does its predecessors proud 
19378, poignancy  and intelligence 
19379,may be too narrow to attract crossover viewers  
19380,gives new meaning to the phrase  fatal script error 
19381,an immensely appealing couple 
19382,refreshes the mind and spirit 
19383,the only possible complaint you could have about spirited away is that there is no rest period  no timeout 
19384,and unforgettable characters 
19385,great 
19386,a promising workinprogress 
19387,lush and beautifully 
19388,funniest and most accurate 
19389,feel like a 10course banquet 
19390,living harmoniously 
